Image URL,Credit,Caption,Alt text
he dusty.png,Dusty,he,A blue figure with the male symbol arrow on its head.
he wolf.png,Wolf,he,The head and torso of an abstract blue person.
he vixen.png,Vixen,he,"a simplified features a blue, rounded figure with large pointed ears resembling a stylized animal or plush toy. A heart-like symbol with a arrow on top, indicating masculinity, is drawn on the face. A green arrow points towards the figure, highlighting its significance. and the illustration has a rough, textured appearance."
he speakupsymbols.png,SpeakUpSymbols,He,a blue mars symbols
he'd dusty.png,Dusty,he'd,A blue figure standing above a red arrow pointing left.
Hers.png,Pheonix,hers,"yellow figure with hair in a bun/puff and a hand out, a purple ball is hovering over the hand and an arrow points to the ball"
He.png,Pheonix,he,arrow pointing at yellow figure with big mustache
he'll dusty.png,Dusty,he'll,A blue figure standing above a purple arrow pointing right.
he she vixen 1.png,Vixen,he/she,"a furry cat creature with a white female symbol (♀) and a male symbol (♂) inside its face, The creature has pink and blue fur with a fuzzy texture."
hers vixen.png,Vixen,hers,"a simplified features a pink, rounded figure with large pointed ears resembling a stylized animal or plush toy. A heart-like symbol with a cross underneath, indicating femininity, is drawn on the face. she's holding up yellow ball in her paw, A green arrow points towards the figure, highlighting its significance. and the illustration has a rough, textured appearance."
he's dusty.png,Dusty,he's,A blue figure standing above a green bar.
he she vixen 2.png,Vixen,he/she,"a furry cat creature He/She written in white its face, The creature has pink and blue fur with a fuzzy texture."
herself gillipop.png,Gillipop,herself,a simple icon of an emoji-yellow circular face with a pink female/venus symbol pointing to herself. behind the hand there is a pink arrow pointing at the face
Him.png,Pheonix,him,arrow pointing at blue figure with big mustache
him vixen.png,Vixen,him,":a simplified features a blue, rounded figure with large pointed ears resembling a stylized animal or plush toy. A heart-like symbol with a arrow on top, indicating masculinity, is drawn on the face he's holding up a paw pointing to himself. A green arrow points towards the figure, highlighting its significance. and the illustration has a rough, textured appearance."
him wolf.png,Wolf,him,The head and torso of an abstract blue person with a large white rectangle in front along the bottom of the image.
Himself.png,Pheonix,himself,"2 arrows on either side of a purple figure with large blue mustache, the arrows point twords the figure."
herself vixen.png,Vixen,herself,"a simplified features a pink rounded figure with large pointed ears resembling a stylized animal or plush toy. A heart-like symbol with a cross underneath, indicating femininity, is drawn on the face. she's holding up two paws pointing to herself, A green arrow points towards the figure, highlighting its significance. and the illustration has a rough, textured appearance."
Her.png,Pheonix,her,arrow pointing at blue figure with hair in a bun/ puff
himself wolf.png,Wolf,himself,The head and torso of an abstract blue person with a large white heart in front along the bottom of the image.
Herself.png,Pheonix,herself,"2 arrows on either side of a purple figure with hair in a bun/ puff, the arrows point towards the figure."
