Image URL,Credit,Caption,Alt text
unsure tt.png,TinyTyra,unsure,A white circle with black question mark inside.
also fg.png,froggygolem,also,"Two overlapping orange circles, the top smaller than the bottom above and to the left of a darker orange plus sign."
good tt.png,TinyTyra,good,A green square.
need tt.png,TinyTyra,need,A yellow square tilted 45 degrees.
Because 3 Phoenix.png,Phoenix,because,An arrow starts in the bottom left corner and forms a loop before pointing to the right from the top right corner. It has a blue-green outline and its interior grades from light blue to orange-pink.
urgent tt.png,TinyTyra,urgent,A red triangle.
a fg.png,froggygolem,a,an small centered orange bubble letter lowercase a without the hole.
neutral tt.png,TinyTyra,neutral,A blue circle.
a matrix.png,MATRIX,a,a dark pink ‘a’ shaped blob with a white outline
a.png,M,a,a turquoise arc pointed towards a small yellow circle
overdue tt.png,TinyTyra,overdue,An orange hexagon.
although 1b.png,Petri,although,"someone looking like they’re thinking about something, looking to the top left with their hand in their chin. they're emoji yellow and fat with brown lines."
about fg.png,froggygolem,about,orange circle with two darker orange squiggles
about m.png,M,about,A blue circle with an orange circle around it. the orange circle has three barely visible arrows pointing from the blue circle and back to it.
although 2.png,Petri,although,"someone looking like they’re thinking about something, looking to the top left with their hand in their chin. they're fat, with light brown skin, a brown ponytail with a blue dip-dye, has several scars, and is wearing a silver ring splint on one of their fingers."
anyhow phonix 1.png,Pheonix,anyhow,"an image with light line art shows a curved arrow with a section removed from its center. Replacing the section are three gears, one yellow, the next green, and the last blue. The end of the arrow is a pinkish red, the point of the arrow is purple."
although 1a.png,Petri,although,"someone looking like they’re thinking about something, looking to the top left with their hand in their chin. they're emoji yellow and fat with black lines."
am rayin.png,Rayin,am,"A nondescript yellow person with a star on their chest is positioned above a downward-pointing purple arrow, which has a upward curving base which the body sits inside of."
about gg.png,Gleepglorpian,about,"someone holding a book, they are speaking with their speech bubble having the book, and various fantasy related symbols such as a sword, castle, etc."
anyhow phonix 2.png,Pheonix,anyhow,"an image with dark line art shows a curved arrow with a section removed from its center. Replacing the section are three gears, one yellow, the next green, and the last blue. The end of the arrow is a pinkish red, the point of the arrow is purple."
am not rayin.png,Rayin,am not,A nondescript yellow person with a star on their chest is positioned above a purple line which has downward-pointing arrows at both ends. Underneath the purple line in between these two arrows is a red X mark
additionally.png,Petri,additionally,"a rotating arrow encircing a plus symbol, shaded with red, black and blue to look 3d."
although 1d.png,Petri,although,"someone looking like they’re thinking about something, looking to the top left with their hand in their chin. they're emoji yellow and thin with brown lines."
an matrix.png,MATRIX,an,a dark pink ‘a’ shaped blob with a light pink squiggle to its right
again fg.png,froggygolem,again,two dark orange arrows curving from bottom up then back down next to each other.
am bunnsemojis.png,bunnsemojis,am,A dark red check mark with a matching accent line on the bottom right side of it.
are rayin.png,Rayin,are,"a nondescript green person with a star on their chest is positioned above a downward-pointing purple arrow, which has a upward curving base which the body sits inside of."
am fg.png,froggygolem,am,flattened orange blob above curvy orange blob that is flat on the bottom
an bunnsemojis.png,bunnsemojis,an,A bright green arrow with a wiggle making it go from the bottom left to point to the middle right.
are bunnsemojis.png,bunnsemojis,are,Three deep purple checkmarks from the top right to bottom left with a matching accent line along their undersides.
are chrome.png,cytochrome-sea,are,two red arrows point down at a bar
and bunnsemojis.png,bunnsemojis,and,A deep green ampersand with the bottom right part sticking out and up a little.
are pi.png,Pi,are,"an illustration of two featureless people, their skin is light muted purple and they are holding hands. The people are standing on a patch spring green grass with pink flowers"
be rayin 1.png,Rayin,be,"A yellow person wearing a green shirt and blue pants is sitting casually, leaning back on one arm and the other draped over their knee, a smile on their face. Surrounding them are five purple wavy translucent arrows."
are p.png,Petri,are,a featureless yellow person standing with an arrow pointing downwards on either side of them.
as bunnsemojis.png,bunnsemojis,as,A green large blob with a thick tail coming out of the bottom and curving to the right.
Because 1 Phoenix.png,Phoenix,because,An arrow starts in the bottom left corner and forms a loop before pointing to the right from the top right corner. It has a blue outline and its interior grades from a blue to light blue.
are fg.png,froggygolem,are,three orange lumps above a horizontal lump that is curvy on the top and flat on the bottom
at 3.png,Petri,at,"a brown arrow pointing downwards onto a floating, grassy patch of land"
been fg.png,froggygolem,been,dark blue pause sign above left hand side of curvy blob that’s flat on the bottom
are not rayin.png,Rayin,are not,A nondescript green person with a star on their chest is positioned above a purple line which has downward-pointing arrows at both ends. Underneath the purple line in between these two arrows is a red X mark.
at fg 1.png,froggygolem,at,an orange blob next to a you are here marker on a brown lump.
been rayin.png,Rayin,been,"A drawing of a nondescript yellow person with a star on their chest. The person is who from their mid torso up there is a wavy purple line cutting the rest of them off, the line has arrows on each end"
as fg.png,froggygolem,as,two orange circles with a double headed arrow between them. the right hand circle is striped
at fg 2.png,froggygolem,at,an orange at sign.
although 1c.png,Petri,although,"someone looking like they’re thinking about something, looking to the top left with their hand in their chin. they're emoji yellow and thin with black lines."
at 2.png,Petri,at,"a green arrow pointing downwards onto a floating, grassy patch of land"
at fg 3.png,froggygolem,at,an orange at sign next to a you are here marker on a brown lump.
pronouns/am chrome.png,cytochrome-sea,am,(a blue dog next to an arrow point down at a bar.
be pi.png,Pi,be,"an illustration of someone standing in a patch of spring green grass and pink flowers, the person is tall and lanky with a light muted purple skin tone."
as m.png,M,as,"A wavy equals sign, that is a gradient from yellow on one side to red on the right"
and pheonix 1.png,Pheonix,and,"a light blue circle sits above a dark blue shape, a green arrow comes from that shape and points to a second slightly darker blue circle."
Be-Froggygolem_.png,froggygolem,be,light blue symbol of two small lines like a pause symbol above a long horizontal  blob that is flat on the bottom and wavy on top
bad fg.png,froggygolem,bad,a dark blue thumbs down
By Avery Phoenix.png,Avery and Phoenix,By,A blue circle with two red circles in front of it. The red circles are one above the other.
being fg.png,froggygolem,being,dark blue arrow pointing right above a dark blue horizontal lump that is curvy on the top and flat on the bottom
be p.png,Petri,be,a featureless light blue person standing with an arrow pointing downwards on either side of them.
Per Avery Phoenix.png,Avery and Phoenix,Per,"A bunch of purple circles in the top left of the image, with five green arrows pointing to a collection of orange circles in the bottom right corner."
