Image URL,Credit,Caption,Alt text
plus one counter plum.png,Plum,+1/+1 Counter,"A grey circle with “+1 | +1” written inside in white block lettering. An icon of a sword is next to the “1” on top, and an icon of a shield is next to the “1” on the bottom."
minus one counter plum.png,Plum,-1/-1 Counter,"A grey circle with “-1 | -1” written inside in white block lettering. An icon of a sword is next to the “1” on top, and an icon of a shield is next to the “1” on the bottom."
azorius m.png,M,Azorius,"Simplified emblem of the Azorius Senate, the blue and white guild, from Magic: the Gathering."
colorless mana.png,Plum,colorless mana (Magic: the Gathering),A drawing of a symbol very similar to the Colorless Mana pips seen in Magic: the Gathering. It is a light grey circle with a dark four pointed star in the center. The circle is textured to look shiny.
artifact mtg plum.png,Plum,artifact (MtG),An icon of a blue-grey chalice or goblet.
common plum.png,Plum,common,A drawing of a hollow black hexagon outlined in white.
black mana 1.png,Plum,black mana (Magic: the Gathering),"A symbol very similar to the Black Mana pips seen in Magic: the Gathering. It is a dark grey circle textured to resemble stone with a dark icon of a cartoony, cracked humanoid skull in the center."
blue mana.png,Plum,blue mana (Magic: the Gathering),Drawing of a blue circle with a pattern resembling water ripples. In the center is a very dark purple teardrop icon
dimir m.png,M,Dimir,"Emblem of House Dimit, the blue and black guild, from Magic: the Gathering."
creature mtg 2 plum.png,Plum,creature (MtG),A red-brown icon of three slashes or claw marks.
boros m.png,M,Boros,"Emblem of the Boros Legion, the red and white guild, from Magic: the Gathering."
draw.png,Plum,draw,"A drawing showing the act of drawing a new card in a card game. A yellow hand holds four splayed trading cards, with a stack of face-down cards next to them. A red arrow goes from the stack to the hand, and a green plus sign is next to it to convey the new card being added to the hand."
golgari m.png,M,Golgari,"Emblem of the Golgari Swarm, the green and black guild, from Magic: the Gathering."
creature mtg 1 plum.png,Plum,creature (MtG),"An icon of three slashes or claw marks, colored brown and red to look like dirt."
enchantment mtg 1 plum.png,Plum,enchantment (MtG),A pale yellow icon of a rising sun.
instant mtg.png,Plum,instant,A drawing of a yellow lightning bolt. Up in the top left corner is a small red exclamation point and an analog clock with a section highlighted showing a short amount of time.
generic mana.png,Plum,generic mana (Magic: the Gathering),"A symbol very similar to the Generic Mana pips seen in Magic: the Gathering, where the number is replaced with an “X”. It is a grey circle with a faint swirling rainbow pattern on top, with a big dark “X” in the center."
green mana.png,Plum,green mana (Magic: the Gathering),A green circle textured like foliage. In the center is a very dark purple icon of a tree.
izzet m.png,M,Izzet,"Emblem of the Izzet League, the red and blue guild, from Magic: the Gathering."
gruul m.png,M,Gruul,"Emblem of the Gruul Clans, the red and green guild, from Magic: the Gathering."
land mtg m.png,M,land (Magic the Gathering),A silver circle with a stylised dark grey pair of mountains.
magic the gathering m.png,M,Magic: the Gathering,"The Magic: the Gathering logo, coloured in flat red and outlined in black."
magic the gathering arena m.png,M,Magic: the Gathering Arena,"The Magic: the Gathering Arena logo, coloured in flat red and silver and outlined in black."
radkos m.png,M,Radkos,"Emblem of the Cult of Radkos, the red and black guild, from Magic: the Gathering."
mtg card.png,Plum,Magic: the Gathering card,"A drawing of a magic the gathering card. It has a grey border, and the artwork is of a silver crown decorated with black jewels. Scribbles replace all text that would normally be there."
power toughness mtg.png,Plum,power / toughness,"A drawing replicating the bottom right area of a Magic the Gathering card that shows a card’s power and toughness, but the numbers are replaced with symbols. It is a  grey rounded rectangle shape with a raised edge. Inside of it is (left to right) an icon of a yellow, muscly human arm flexing, for power, a diagonal line separating the two values, and a yellow and green shield, for toughness. /"
rarity mtg.png,Plum,rarity,"Four icons representing different levels of rarity with some sparkles and a red question mark in the center. The symbols are a black hexagon, a silver pentagon, a golden square/diamond, and a red-orange triangle."
mythic rare plum.png,Plum,mythic rare,"A drawing of a hollow, shiny red-orange triangle. The inside is colored with a metallic or firey red-orange gradient."
precon.png,Plum,precon (pre-constructed deck),A drawing showing several differently colored generic cards. A yellow arrow goes from the cards to the top of a dark grey box decorated with a yellow four pointed star that has a price tag displaying two dollar signs. A white oval surrounds the box.
red mana.png,Plum,red mana (Magic: the Gathering),"A drawing of a red-orange circle textured to vaguely resemble fire, with a very dark purple icon of a flame inside."
orzhov m.png,M,Orzhov,"Emblem of the Orzhov Syndicate, the black and white guild, from Magic: the Gathering."
rare plum.png,Plum,rare,A drawing of a hollow gold square or diamond. The inside is colored with a yellow-brown metallic gradient.
toughness mtg.png,Plum,toughness,"A drawing replicating the bottom right area of a Magic the Gathering card that shows a card’s power and toughness, with the toughness highlighted, but the numbers are replaced with symbols. It is a  grey rounded rectangle shape with a raised edge. Inside of it is (left to right) a greyed out icon of a yellow, muscly human arm flexing, for power, a diagonal line separating the two values, and a yellow and green shield, for toughness. A red arrow points to the shield."
power mtg.png,Plum,power,"A drawing replicating the bottom right area of a Magic the Gathering card that shows a card’s power and toughness, with the power highlighted, but the numbers are replaced with symbols. It is a grey rounded rectangle shape with a raised edge. Inside of it is (left to right) an icon of a yellow, muscly human arm flexing, for power, a diagonal line separating the two values, and a greyed-out yellow and green shield, for toughness. A red arrow points to the arm."
