Image URL,Credit,Caption,Alt text
1st dan black  belt m.png,M,1st dan black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno. there is a gold strip at the end."
2nd dan black belt m.png,M,2nd dan black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno. there are two gold strips at the end."
3 of legless rat.png,legless rat,3 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 3 in the middle"
4 of legless rat.png,legless rat,4 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 4 in the middle"
2 of legless rat.png,legless rat,2 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 2 in the middle"
3rd dan black belt m.png,M,3rd dan black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno. there are three gold strips at the end."
4th dan black belt m.png,M,4th dan black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno. there are four gold strips at the end."
5 of legless rat.png,legless rat,5 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 5 in the middle"
6 of legless rat.png,legless rat,6 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 6 in the middle"
7 of legless rat.png,legless rat,7 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 7 in the middle"
5th dan black belt m.png,M,5th dan black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno. there are five gold strips at the end."
9 of legless rat.png,legless rat,9 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 9 in the middle"
10 of legless rat.png,legless rat,10 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 10 in the middle"
8 of legless rat.png,legless rat,8 of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black 8 in the middle"
assassin's creed m 3.png,M,Assassin's Creed,the Assassin's Creed logo in red.
ace of legless rat.png,legless rat,ace of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black A in the middle"
arcade dance pad.png,Plum,arcade dance pad,": A drawing of a dance pad for rhythm games, like those seen in arcades. It is a dark gray raised platform with a red handlebar at the back and five large buttons, each corresponding to a specific direction."
assassin's creed mirage m.png,M,Assassin's Creed: Mirage,"the Assassin's Creed: Mirage logo, colored copper. it looks like a capital letter Aleph with an arc underneath it, stylised to look like Arabic caligraphy."
archery talksense.png,TalkSense,archery,an archery arrow in the centre of a target.
assassin's creed m 2.png,M,Assassin's Creed,the Assassin's Creed logo in gold.
assassin's creed valhalla m.png,M,Assassin's Creed: Valhalla,"the Assassin's Creed: Valhalla logo, colored light teal. it looks like a capital letter Aleph with an arc underneath it, stylised to look like Norse carving."
basketball talksense.png,TalkSense,basketball,a basketball.
assassin's creed odyssey m.png,M,Assassin's Creed: Odyssey,"the Assassin's Creed: Odessey logo, colored bronze. it looks like a capital letter Aleph with an ancient Greek helmet underneath it."
ball rae.png,Rae,ball,blue and yellow ball with a red star on it.
arm bands.png,Neon,arm bands,a set of thick black bands that have the number 00 on them in red.
baldur's gate 3.png,M,Baldur's Gate 3,"A drawinf og the logo of the video game Baldur's Gate 3, without the text and with black lineart and simplified colors."
beach ball rae.png,Rae,beach ball,"a ball with white, red, yellow, and blue stripes"
assassin's creed m 1.png,M,Assassin's Creed,the Assassin's Creed logo in black.
bingo.png,Ani,bingo,A drawing of a bingo card with a bingo on it. The word Bingo is at the top of the card in blue letters The card is made of a 5 by 5 grid with a star in the middle square. The farthest right column has purple circles in all of the squares.
bingo card.png,Ani,bingo card,A drawing of a bingo card. At the top of the card is the word Bingo in blue lettering. The card is made of a 5 by 5 grid with a star in the middle square all the other squares are empty.
assassin's creed origins m.png,M,Assassin's Creed: Origins,"the Assassin's Creed: Origins logo, colored gold. it looks like a capital letter Aleph with an arc underneath it, stylised to contain an Eye of Horus."
blue belt m.png,M,blue belt,"a martial arts blue belt, based on art by Wikimedia user Edgouno."
black belt m.png,M,black belt,"a martial arts black belt, based on art by Wikimedia user Edgouno."
bails.png,M,bails,two light brown bails on white stumps.
booster pack 2.png,Plum,booster pack (trading card game),"A drawing of a booster pack for a trading card game. The packaging is a loosely drawn  red dragon on a blue, swirling background, with a yellow starburst shape and scribbles resembling text as the logo on top."
black king stellar.png,StellarSymbols,black king,a black king rook.
black bishop stellar.png,StellarSymbols,black bishop,a black chess bishop.
cards against humanity.png,M,Cards Against Humanity,a representation of the logo of the game Cards Against Humanity. It has a white card in front of a black card.
black rook stellar.png,StellarSymbols,black rook,a black chess rook.
black knight stellar.png,StellarSymbols,black knight,a black chess knight.
d12.png,M,d12,a red twelve-sided die with the '12' face on the top.
black queen stellar.png,StellarSymbols,black queen,a black chess queen.
black pawn stellar.png,StellarSymbols,black pawn,a black chess pawn.
diamonds ot v1.png,Ottertime,diamonds,a red diamond on a white card with a red border
bowl m.png,M,bowl,"A yellow figure in cricket whites bowling a red ball overarm. The figure is shown twice, before and after releasing the ball."
booster pack 1.png,Plum,booster pack (trading card game),"A drawing of a booster pack for a trading card game at a 45 degree angle. The packaging is a loosely drawn  red dragon on a blue, swirling background, with a yellow starburst shape and scribbles resembling text as the logo on top."
diamonds ot v2.png,Ottertime,diamonds,a teal diamond on a white card with a teal border
Chess.png,StellarSymbols,chess,"a simplified depiction of a chessboard, set for a game"
brown belt m.png,M,brown belt,"a martial arts brown belt, based on art by Wikimedia user Edgouno."
/Religion/dreidel.png,M,dreidel,a wood driedel painted blue with shin and hay visible.
computer gaming.png,Petri,computer gaming,"blue computer screen with a generic grey video game controller on it, with a keyboard and mouse below"
d20 neon.png,Neon,d20,A twenty sided dice with white numbers on each side. the dice is purple in color with what looks like star shaped glitter in it.
Fifa 23.png,M,FIFA 23,"a drawing of Sam Kerr, an Australian soccer player with light brown skin and dark hair in blue kit with the number '3,' in motion. she is in front of a silver circle."
clubs ot v1.png,Ottertime,clubs,a dark magenta clubs on a white card with a dark magenta border
diamonds ot v3.png,Ottertime,diamonds,a light pink diamond on a white card with a light pink border
game controller.png,Petri,game controller,a generic grey video game controller with joysticks and buttons.
clubs ot v2.png,Ottertime,clubs,a light purple clubs on a white card with a light purple border
helmet.png,Neon,helmet,A black skateboarding helmet with blue straps and a blue logo that reads 'N3'.
hearts ot v3.png,Ottertime,hearts,a dark red heart on a white card with a dark red border
clubs ot v3.png,Ottertime,clubs,an ashy grey clubs on a white card with an ashy grey border
mod.png,M,[game] mod,a blue circle in a green folder that's labeled with a triangular 'play' symbol and purple sparkle above it.
jack of legless rat.png,legless rat,jack of,"black outlines, a card with a black spade in the top left corner, red heart in the top right, red diamond in the bottom left, black club in the bottom right and a black J in the middle"
crab tool.png,Neon,crab tool,A light grey metal dual-sided wrench-like tool used for quad skates. It is vaguely crab shaped.
goalball 1.png,M,goalball,"An emoji yellow figure in a blue goalball uniform, which has a blindfold and elbow and knee pads, bouncing a goalball."
king white 2.png,M,king (white),A very pale brown chess king.
elbow pads.png,Neon,elbow pads,a set of black elbow pads with white plastic caps overlapping on another.
green belt m.png,M,green belt,"a martial arts green belt, based on art by Wikimedia user Edgouno."
knee pads.png,Neon,knee pads,aa set of black knee pads with white plastic caps overlapping on another.
first place vincent.png,Vincent,first place,"A set of three metallic rectangles side by side of varying heights. The left rectangle is silver with a darker silver outline, the middle is gold with a darker gold outline, and the right is bronze colored with a darker bronze outline. The gold rectangle has a star above it."
