Image URL,Credit,Caption,Alt text
mobility aids dusty.png,Dusty,mobility aids,"A cluster of mobility aids at different angles, including a heavy duty power chair, an ultralight manual wheelchair, an offset cane, a walker, and a pair of yellow forearm crutches."
/Supports/active_wheelchair_2.png,Petri,active wheelchair,a drawing of a black active wheelchair.
arm rest dusty.png,Dusty,arm rest,A black and white rigid wheelchair in profile with a bright pink arm rest.
/Supports/active_wheelchair_1.png,Petri,active wheelchair,a drawing of a black active wheelchair with white highlights.
arm rest housing dusty.png,Dusty,arm rest housing,A black and white rigid wheelchair in profile with a bright pink arm rest housing.
axle dusty.png,Dusty,axle,A black and white rigid wheelchair in profile with a bright pink axle.
anti tipper dusty.png,Dusty,anti-tipper,A black and white rigid wheelchair in profile with a bright pink anti tipper.
back rest dusty.png,Dusty,back rest,A black and white rigid wheelchair in profile with a bright pink back rest.
camber tube dusty.png,Dusty,camber tube,A black and white rigid wheelchair from behind with a bright pink camber tube.
calf strap dusty.png,Dusty,calf strap,A black and white rigid wheelchair from the front with a bright pink calf strap.
back rest height dusty.png,Dusty,back rest height,A black and white rigid wheelchair in profile with a bright pink back rest and a measurement line from the bottom to the top of the back rest.
caster wheel dusty.png,Dusty,caster wheel,A black and white rigid wheelchair in profile with a bright pink caster wheel.
camber dusty.png,Dusty,camber,"A black and white drawing of a rigid wheelchair from behind, with pink angle symbols indicating the tilt of the wheels."
caster housing dusty.png,Dusty,caster housing,A black and white rigid wheelchair in profile with a bright pink caster housing.
foam insert dusty.png,Dusty,foam insert,An internal view of a solid tire.
caster fork dusty.png,Dusty,caster fork,A black and white rigid wheelchair in profile with a bright pink caster fork.
cushion dusty.png,Dusty,cushion,A black and white rigid wheelchair in profile with a bright pink wheel cushion.
/Supports/folding cane 3 plum.png,Plum,folding cane,A wooden folding cane with a black handle and tip folded up.
center of gravity dusty.png,Dusty,center of gravity (COG),"A black and white drawing of a rigid wheelchair from the side. Its axle is pink, with a pink double-headed arrow above it."
/Supports/derby handle cane.png,Blackholemojis,derby handle cane,"A person standing with their cane, which is purple and has a derby handle."
folding frame dusty.png,Dusty,folding frame,"A black and white drawing of a folding wheelchair from behind, with its X frame in pink and two pink arrows pointing up to indicate how it folds."
head rest dusty.png,Dusty,head rest,A black and white rigid wheelchair with a pink head rest on a stand.
dump dusty.png,Dusty,dump,"A black and white drawing of a rigid wheelchair in profile, with a pink angle symbol beneath it indicating the downward slope of the seat."
folding powerchair dusty.png,Dusty,folding powerchair,A vertically folding power chair with a yellow frame.
/Supports/folding cane 1 plum.png,Plum,folding cane,A black folding cane folded up.
/Supports/folding cane 2 plum.png,Plum,folding cane,A blue folding cane with a black handle and tip folded up.
/Supports/forearm crutch.png,Blackholemojis,forearm crutches,a closeup of an arm holding the handle to a light purple forearm crutch.
forearm crutch stellar.png,StellarSymbols,forearm crutch,A silver forarm crutch.
footplate dusty.png,Dusty,footplate,A black and white rigid wheelchair from the front with a bright pink footplate.
forearm crutches blur.png,Blur The Colors,forearm crutches,a light grey and black pair of forearm crutches. there is a white background and outline.
forearm crutches stellar.png,StellarSymbols,forearm crutch,two silver forarm crutches.
forearm crutch blur.png,Blur The Colors,forearm crutch,a dark blue and black forearm crutch. there is a white background and outline.
frame 2 dusty.png,Dusty,frame,A black and white rigid wheelchair in profile with a bright pink frame.
/Supports/forearm crutches light.png,Neon,forearm crutches (light grey),a set of light grey forearm crutches crossed other each other.
/Supports/forearm crutches dark.png,Neon,forearm crutches (dark grey),a set of dark grey forearm crutches crossed other each other.
/Supports/gait belt 5.png,M,gait belt,a green gait belt.
frame dusty.png,Dusty,frame,A black and white rigid wheelchair from the front with a bright pink frame.
frame length dusty.png,Dusty,frame length,black and white rigid wheelchair in profile with a bright pink frame and a measurement line from the back of the frame to the beginning of the downward curve.
/Supports/manual_wheelchair_2.png,Petri,manual wheelchair,a drawing of a black manual wheelchair.
/Supports/gait belt 1.png,M,gait belt,a grey gait belt.
/Supports/gait belt 3.png,M,gait belt,a purple gait belt.
/Supports/manual wheelchair vixen.png,Vixen,manual wheelchair,"a crayon styled drawing of a manual wheelchair with a blue frame, grey wheels, footrests and black seat, with black handles."
/Supports/gait belt 2.png,M,gait belt,a red gait belt.
/Supports/gait belt 4.png,M,gait belt,a blue gait belt.
manual wheelchair decorated millie.png,Millie,manual wheelchair (decorated),"a low, active type black manual wheelchair with blue wheel rims and push handles, a rainbow footrest, and a plush bunny and small green cushion on the seat."
gait trainer stellar.png,StellarSymbols,gait trainer,A silver gait trainer.
heavy duty powerchair dusty.png,Dusty,heavy duty powerchair,A heavy duty powerchair with red accents.
offset cane blur.png,Blur The Colors,offset cane,a light grey and black offset cane. there is a white background and outline.
/Supports/mobility scooter.png,Harlow,folding mobility scooter,"A folding mobility scooter. It is unfolded, facing towards the left and slightly facing the viewer. It is black and grey with light blue highlights."
hospital chair millie 2.png,Millie,hospital wheelchair,a simple black hospital wheelchair with a red and white cross medical symbol above it.
/Supports/pop out stool cane.png,Blackholemojis,pop out stool cane,"A person standing with their cane, which has an offset ergonomic handle and a pop-out stool attachment."
lock dusty.png,Dusty,lock,A black and white rigid wheelchair in profile with a bright pink wheel lock.
/Supports/manual_wheelchair_1.png,Petri,manual wheelchair,a drawing of a black manual wheelchair with white highlights.
push chair adult stroller bh 1.png,Blackholemojis,push chair / adult stroller,a purple and grey adult stroller
/Supports/offset handle cane.png,Blackholemojis,offset handle cane,"A person standing with their cane, which has an offset ergonomic handle."
powerchair bh 2.png,Blackholemojis,power chair,a person waving from a purple and grey power chair
push chair adult stroller bh 2.png,Blackholemojis,push chair / adult stroller,a person waving from a purple and grey adult stroller
powerchair bh 1.png,Blackholemojis,power chair,a purple and grey power chair
/Supports/powerchair.png,M,powerchair,A large electric wheelchair with a blue base and red joystick.
quick release axle dusty.png,Dusty,quick release axle,"A black and white drawing of a wheelchair wheel, with an arrow pressing on the axle and arrows behind it indicating removal."
prosthetic foot m.png,M,prosthetic foot,"A simple prosthetic foot facing the right. it has an ankle adaptor, and the foot is a warm light brown and shaped like a flesh foot."
/Supports/platform crutch.png,Blackholemojis,platform forearm crutches,a closeup of an arm holding the handle to a light purple forearm crutch with a platform. The platform is flat and has a strap securing it to the arm.
/Supports/rollator_1.png,Petri,rollator,a drawing of a black rollator with white highlights.
push handle dusty.png,Dusty,push handle,A black and white rigid wheelchair in profile with a bright pink push handle.
pneumatic dusty.png,Dusty,pneumatic,An internal view of a tire with nothing in it.
seat length dusty.png,Dusty,seat length,"A black and white rigid wheelchair in profile, with a bright pink seat, and a measurement line from the back to front of the seat."
push rim dusty.png,Dusty,push rim,A black and white rigid wheelchair in profile with a bright pink push rim.
lower running blade bh.png,Blackholemojis,prosthetic lower running blade,"A person with a prosthetic lower running blade, wearing an orange sock underneath."
seat to floor dusty.png,Dusty,seat to floor,A black and white rigid wheelchair in profile with a bright pink seat and a measurement line from the floor to the bottom of the seat.
/Supports/quad_cane.png,Petri,quad cane,a drawing of a quad cane sitting at an angle.
push rim cover dusty.png,Dusty,push rim cover,"A black and white drawing of a wheelchair wheel, with a thick pink ring and arrows connecting it to the push rim."
seat width dusty.png,Dusty,seat width,A black and white rigid wheelchair from the front with a pink seat and a measurement line from one end of the seat to the other.
release cord dusty.png,Dusty,release cord,A black and white rigid wheelchair from behind with a bright pink release cord.
/Supports/quad base cane.png,Blackholemojis,quad base cane,"A person standing with their cane, which has an offset ergonomic handle and quad base."
side guard housing dusty.png,Dusty,side guard housing,A black and white rigid wheelchair in profile with a bright pink side guard housing.
