Image URL,Credit,Caption,Alt text
support vixen.png,Vixen,support,two yellow paws holding up a rainbow galaxy patterned heart.
adult diaper vixen.png,Vixen,adult diaper,a blue adult diaper. It has a blue waistband with yellow stars. The diaper has two blue tabs to keep it closed.
adaptive shoe 1.png,M,adaptive shoe,"a blue adaptive shoe. the top of the shoe is lifted up from the sole and sides, with a zipper to secure it back. there are false laces on the top."
adaptive shoe 2.png,M,adaptive shoe,"a red adaptive shoe. the top of the shoe is lifted up from the sole and sides, with a zipper to secure it back. there are false laces on the top."
alien pop it petri.png,Petri,alien pop-it,a light green pop-it shaped like the head of an alien from Toy Story.
Blue Chewelry Gillipop.png,Gillipop,Blue Chewelry,a deep blue crystal-shaped chewelry necklace on a black string
adult diaper open vixen.png,Vixen,adult diaper (open),"an open adult diaper. It is a blue diaper with a white waistband and a pattern of stars. The diaper is open and lying flat, with the blue absorbent pad visible."
assistive technology dusty.png,Dusty,assistive technology,"A drawing of assistive technology including a green hearing aide, a blue AAC device, a four compartment pill organizer with suns and a moon on it, a yellow wheelchair, and a red switch button."
body sock.png,Ry,body sock,A person wearing a blue body sock with their arms up in the air.
adhd medication plum.png,Plum,ADHD medication,"A drawing of an orange prescription bottle with the ADHD butterfly symbol - A rainbow-colored, stylized depiction of a butterfly with the wings drawn with a single stroke to resemble an infinity symbol - on the label. Text on the label is replaced with scribbles."
assistive technology kay.png,Kay,assistive technology,"a variety of assistive devices drawn simply. a light blue hearing aid, blue eye tracker, light red AAC device, red and white cane, big red button, cyan headphones and a pink and purple power wheelchair"
caregiver ottertime 5.png,Ottertime,caregiver,"a yellow person wearing a blue hijab, a long sleeve light blue shirt, and a long blue skirt, with the disability sun on their shirt holding the hand of a taller white person with a pink heart on their chest. The yellow person has an aac device strapped on while the Caregiver has a brown bag."
body sock alex.png,Alex W,body sock,A person with brown skin using a blue body sock.
bedtime meds.png,Petri,bedtime meds,an orange pill bottle in front of a yellow crescent moon.
caregiver ottertime 6.png,Ottertime,caregiver,"a yellow person with the disability sun on their chest holding the hand of a taller white person wearing a pink hijab, a light pink long sleeved shirt, and a long pink skirt, with a pink heart on their shirt. The yellow person has an aac device strapped on while the Caregiver has a brown bag."
caregiver ottertime 1.png,Ottertime,caregiver,a yellow person with the disability sun on their chest holding the hand of a taller white person with pink joints and a pink heart on their chest. The yellow person has an aac device strapped on while the Caregiver has a brown bag.
bte neon.png,Neon,BTE / Behind the ear hearing aid,A semi simplistic drawing of an ear that has a hearing aid on it which is sitting behind the top edge of the ear.
caregiver ottertime 7.png,Ottertime,caregiver,"a yellow person wearing a blue hijab, a long sleeve light blue shirt, and a long blue skirt, with the disability sun on their shirt holding the hand of a taller  white person wearing a pink hijab, a light pink long sleeved shirt, and a long pink skirt, with a pink heart on their shirt. The yellow person has an aac device strapped on while the Caregiver has a brown bag."
caregiver ottertime 2.png,Ottertime,caregiver,a yellow person with the disability sun on their chest holding the hand of a taller white person with a pink heart on their chest. The yellow person has an aac device strapped on while the Caregiver has a brown bag. The yellow person also has a blue cane
caregiver ottertime 3.png,Ottertime,caregiver,"a yellow person with the disability sun on their chest holding the hand of a shorter, chubby white person with a pink heart on their chest. The yellow person has an aac device strapped on while the Caregiver has a brown bag."
/Disability/cpap.png,M,CPAP,"A person in bed, with a CPAP connected. The mask is a full face mask style (covering nose and mouth), with a long white hose connected to the box part of the machine, which is on the nightstand."
carer.png,M,carer,"a simple yellow figure adjusting a sheet over a simple blue figure, who is in bed."
caregiver ottertime 4.png,Ottertime,caregiver,"a yellow person with the disability sun on their chest holding the hand of a shorter, chubby white person with a pink heart on their chest. The yellow person has an aac device strapped on while the Caregiver has a brown bag. The yellow person also has a blue cane"
cochlear implant 3.png,Neon,cochlear implant,a purple right facing external hardware of a cochlear implant.
changing table katt.png,Katt,changing table,A wall-mounted changing table with a controller. It is various shades of grey.
caregiver rayin.png,Rayin,caregiver,Two nondescript yellow people dressed in green shirts (the one on the left having more of a blue tint and the one on the right having more of a yellow tint) and blue pants. The person on the left is shorter and using a blue cane and is looking at the taller and holding hands with them.
comfort objects 2.png,Ani,comfort objects,"A light blue blanket, a teddy bear, and a phone. Around them are a few hearts or various sizes. The blanket is mostly scrunched up but one of the corners is flat. The teddy bear is sitting on some of the scrunched up blanket. Finally the phone is laying partially on the not scrunched up blanket corner"
chest wall oscillation vest m 1.png,M,chest wall oscillation vest,A blue chest wall oscillation vest
chewlery necklace ring shaped plum.png,Plum,chewlery necklace (ring shaped),A close-up drawing of a teal silicone ring tied onto a black cord. In the top right is a smaller drawing of a very simplified yellow person wearing the ring as a necklace and chewing on it.
deep pressure ot.png,Ottertime,deep pressure,a white and teal person sitting with a stuffed brown bear in their hands and a blue blanket draped across their lap. to the left of them is a grey weight and a red arrow under it pointing down
chest wall oscillation vest m 2.png,M,chest wall oscillation vest,A red chest wall oscillation vest
chew tube plum 1.png,Plum,chew tube,"A drawing of a light blue silicone chewable tube, shaped like a lowercase letter “b”. In the top right is a smaller drawing of a yellow emoji face biting down on the round part of the tube and holding the straight end in their hand."
ear defenders plum 1.png,Plum,ear defenders,"A drawing of a featureless yellow person’s head wearing orange ear defenders. Red waves representing sounds surround them, and there is a “muted” symbol - A speaker and a red X - in the center of their face to show that they don’t perceive the outside sounds."
chewelry.png,Ry,chewelry,A person chewing on a crystal-shaped chew necklace. Their eyes are closed.
chew tube plum 2.png,Plum,chew tube,"A drawing of a red silicone chewable tube, shaped like a lowercase letter “b”. In the top right is a smaller drawing of a yellow emoji face biting down on the round part of the tube and holding the straight end in their hand."
ear defenders plum 2.png,Plum,ear defenders,"A drawing of a featureless grey person’s head wearing orange ear defenders. Red waves representing sounds surround them, and there is a “muted” symbol - A speaker and a red X - in the center of their face to show that they don’t perceive the outside sounds."
Cyan Chewelry Gillipop.png,Gillipop,Cyan Chewelry,a cyan crystal-shaped chewelry necklace on a black string
cochlear implant 2.png,Neon,cochlear implant,a white right facing external hardware of a cochlear implant.
ear defenders.png,Leaf,ear defenders / headphones,"a bright yellow circular face, like an emoji, wearing a pair of purple ear defenders or headphones"
cochlear implant 1.png,Neon,cochlear implant,a black right facing external hardware of a cochlear implant.
Cyan Chewelry Gillipop Simple.png,Gillipop,Cyan Chewelry,a simple unshaded symbol of a cyan crystal-shaped chewelry necklace on a black string
