Image URL,Credit,Caption,Alt text
ass pheonix.png,Pheonix,ass,"a donkey head,  drawn with black line art and color, sits to the left and slightly above two curved lines arranged to look like a butt. There are 3 arrows pointing to the donkey and butt. they originate from the right hand corners, and bottom left corner."
ass plum.png,Plum,ass,"A drawing of a red, spiky speech balloon with three symbols, or grawlixes, inside that visually resemble the english word “ass” when put together. The symbols are an at sign (@) for “A,” and two dollar signs ($$) for “S S.” The symbols are very dark purple and appear slightly shiny."
asshole stellar.png,Stellar,asshole,a yellow butthole.
ass vixen.png,Vixen,ass,a donkey's backside and an exclamation point in a red spiky speech bubble.
asshole vixen.png,Vixen,asshole,a donkey's backside with a red arrow pointing to it's anus and an exclamation point in a red spiky speech bubble.
bitch vixen 1.png,Vixen,bitch,"a red speech bubble with a cute cartoon dog face, a pink female symbol, and an exclamation point."
bitch vixen 2.png,Vixen,bitch,"a red speech bubble with 
 the word Bitch, and an exclamation point."
bloody hell pheonix 2.png,Pheonix,bloody hell,"a circle with a black outline, covered in blood. It has a gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a red pitchfork surrounded at its base by flames."
bloody hell pheonix 1.png,Pheonix,bloody hell,"a circle with a black outline, covered in blood. It has a gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a red pitchfork surrounded at its base by flames."
bleeped out plum.png,Plum,bleeped out,"A drawing of a speaker and a spiky red speech balloon (not coming from the speaker). The speaker emits a yellow soundwave, covering up whatever was inside the speech balloon."
bloody hell pheonix 4.png,Pheonix,bloody hell,"a circle with a black outline, covered in blood. It has a gradient interior, (radial gradient, off white to greenish yellow). Inside the circle is a blue pitchfork surrounded at its base by flames."
bullshit pheonix.png,Pheonix,bullshit,"an image consisting only of black line art shows a bull's head, and to its right are two curves making a butt shape. Below it is a scribble with two arrows pointing at it."
bloody hell pheonix 3.png,Pheonix,bloody hell,"a circle with a black outline, covered in blood. It has a gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a blue pitchfork surrounded at its base by flames."
brick shithouse chrome.png,cytochrome-sea,brick shithouse,image of a red brick shack with a crescent moon vent cut at the top. the shack has two beefy yellow arms that are flexing
bullshit vixen 2.png,Vixen,bullshit,he word 'Bull Shit' with an exclamation point in a red speech bubble.
bullshit vixen 3.png,Vixen,bullshit,a bull's head with a white toilet and an exclamation point in a red speech bubble.
bullshit vixen 1.png,Vixen,bullshit,a bull's head with a pile of poop and an exclamation point in a red speech bubble.
cunt vixen.png,Vixen,cunt,a red spiky speech bubble with a black exclamation point inside it there's parentheses and an exclamation point in the shape of a vulva '(!)'
damn vixen.png,Vixen,damn,"a dam with a black exclamation point. The dam is black with blue water flowing over it, in a red spiky speech bubble."
bullshit vixen 4.png,Vixen,bullshit,a bull's head with the symbols '%$#!' and an exclamation point in a red speech bubble.
damn pheonix 3.png,Pheonix,damn,"a white circle with a black outline has a simplified depiction of a man made dam inside, next to it is a black exclamation point"
damn pheonix 1.png,Pheonix,damn,a curved arrow grading from purple to orange points to a blue pitchfork surrounded by flames.
curse plum.png,Plum,curse,"A yellow-green, spiky speech balloon with a series of underlined symbols, or grawlixes, inside. The symbols are a spiral, a pictogram of a human skull, an exclamation point, and a five-pointed star."
dumbass vixen.png,Vixen,dumbass,a donkey's backside with a dunce cap on top of it and an exclamation point in a red spiky speech bubble.
dickhead stellar.png,StellarSymbols,dickhead,a yellow figure with a penis tip for a head.
damn pheonix 2.png,Pheonix,damn,a curved arrow grading from purple to orange points to a red pitchfork surrounded by flames.
fuck plum.png,Plum,fuck,"A drawing of a red, spiky speech balloon with four symbols, or grawlixes, inside that visually resemble the english word “fuck” when put together. The symbols are a pound sign (£) for “F,” an upside down capital A (∀) for “U,” a cent sign (¢) for “C,” and an asterisk (*) for “K”. The symbols are very dark purple and appear slightly shiny ."
fuck vixen 1.png,Vixen,fuck,"a red speech bubble inside is a squiggle with a line going into it, and an exclamation point."
damn stellar.png,Stellar,damn,three grawlixes in a flame
fuck cops tonto.png,Tonto,fuck cops,"an image of an angry pig with a cop hat , picturing a cop , next to a yellow hand showing the middle finger to it , the hand is also wearing a rainbow bracelet ."
fuck stellar.png,StellarSymbols,fuck,a yellow figure rocking back and forth into a red circle they're holding in front of their crotch.
damn it vixen.png,Vixen,damnit,"a dam with a black exclamation point and a red arrow pointing to a yellow circle. The dam is black with blue water flowing over it, a red spiky speech bubble."
fuck your syscourse vixen.png,Vixen,fuck your syscourse,"a light blue anthro wolf with red eyes looking angry flipping off the viewer, there is red text on the top and bottom stating 'Fuck your syscourse'"
fuck customers petri 1.png,Petri,fuck customers,a yellow figure pushing a shopping trolley. they and the trolley are messily crossed out in red.
fuck vixen 2.png,Vixen,fuck,the word 'Fuck' with an exclamation point in a red speech bubble.
go fuck yourself petri 1.png,Petri,go fuck yourself,"A green arrow pointing towards a symbol of a dark reddish-brown horizontal line being inserted into a divot in a vertical line of the same color, which is surrounded by a circular arrow of the same color which is points at the symbol."
fucking stop petri.png,Petri,fucking stop,"a spiky speech bubble with a red stop sign shape inside, and a white exclamation mark on the stop sign."
fuck customers petri 2.png,Petri,fuck customers,a yellow figure pushing a shopping trolley. they and the trolley have a messy 'not allowed' symbol over them.
go fuck yourself petri 2.png,Petri,go fuck yourself,"A green arrow pointing towards a symbol of a dark reddish-brown horizontal line being inserted into a divot in a vertical line of the same color, which is surrounded by a circular arrow of the same color which is points at the symbol. everything is outlined in white."
fuck off petri 1.png,Petri,fuck off,"a yellow hand of somebody giving the middle finger, the only detailing being fingernails"
fuck off petri 3.png,Petri,fuck off,"two minimally-featured people; the one on the left looks angry, and is saying a speech bubble to the one on the right. the speech bubble contains a light pink arrow pointing away"
holy shit two cakes.png,Petri,holy shit two cakes,A drawing of a stick figure holding two forks and looking excited next to two cakes.
fuck off petri 2.png,Petri,fuck off,"a yellow hand of somebody giving the middle finger, with fingernails and knuckle details"
fuck off petri 4.png,Petri,fuck off,"two minimally-featured people; the one on the left looks angry, and is saying a speech bubble to the one on the right. the speech bubble contains a light pink X"
horseshit pheonix.png,Pheonix,horseshit,"the image is transparent and consists only of black line art. There is a horse head to the top right of the image, below and to the left is a line that curves outward, then back on itself to make the shape of a horses butt. Above the line are scribbles representing an upraised horses tail, and below the line is a scribble with two arrows pointing at it."
go fuck yourself petri 3.png,Petri,go fuck yourself,"A dark reddish-brown arrow pointing towards a symbol of a dark reddish-brown horizontal line being inserted into a divot in a vertical line of the same color, which is surrounded by a circular arrow of the same color which is points at the symbol."
fuck off and die vixen.png,Vixen,fuck off and die,"on the left is a yellow emoji guy with a big spikey smile showing off its middle finger on the right is a grey tombstone, in-between is a red plus sign"
oh my god rae.png,Rae,oh my god,a cloud with radiant light coming from it. A blue guy sees this and has an exclamation point near their head
go fuck yourself petri 4.png,Petri,go fuck yourself,"A dark reddish-brown arrow pointing towards a symbol of a dark reddish-brown horizontal line being inserted into a divot in a vertical line of the same color, which is surrounded by a circular arrow of the same color which is points at the symbol. everything is outlined in white."
go to hell pheonix.png,Pheonix,go to hell,"An arrow with a blue to green gradient points to the right at a circle with a black outline, and gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a red pitchfork surrounded at its base by flames."
shit vixen 1.png,Vixen,shit,a red spiky speech bubble with a brown emoji-style poop inside it
hell pheonix 1.png,Pheonix,hell,"a circle with a black outline, and gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a red pitchfork surrounded at its base by flames."
hell pheonix 2.png,Pheonix,hell,"a circle with a black outline, and gradient interior, (radial gradient, off white to reddish orange). Inside the circle is a blue pitchfork surrounded at its base by flames."
that's a fucking slur vixen.png,Vixen,that's a fucking slur?!,"a yellow cartoon fox-like creature with a confused, suspicious face, next to the fox is a large, black spiky speech bubble filled with '%$!#' in red."
hell yeah rayin.png,Rayin,hell yeah,a red pitchfork sits between 2 orange wing shaped flames. To the bottom left of the image is a purple check mark with green tildes on either side.
jesus fucking christ petri.png,Petri,Jesus fucking Christ,"a cartoony drawing of Jesus thrusting into a giant red circle. Jesus is white and has an overly detailed face, traced from the white pharaoh meme, and has one eyebrow up and one down. he has long brown hair, a brown beard, is wearing a crown of thorns, an off-white robe with a red cross-body sash, and has red circles on his hand and feet. there is a yellow circle behind his head like a halo, and a curved line on either side of him indicating motion."
what the fuck petri 1.png,Petri,what the fuck,"A drawing of an emoji yellow head with a very angry face, with furrowed eyebrows and an open mouth. Above them is a pink speech bubble containing a fake scribbled word with an exclamation point and question mark after it. There are four V-shaped emphasis marks around the speech bubble. The symbol is sketchy and the lines are loose."
shit plum.png,Plum,shit,"A drawing of a red, spiky speech balloon with four symbols, or grawlixes, inside that visually resemble the english word “shit” when put together. The symbols are a dollar sign ($), standing in for an “S,” A number sign or hash (#), standing in for “H,” an exclamation point, standing in for “I,” and a four pointed star, standing in for “T.” The symbols are very dark purple and appear slightly shiny."
pog mo thoin.png,Méabh,Póg Mo Thóin,"a ms paint style drawing of a grey persons head , their eyes are closed and their mouth is in a cocky smile. above their head there are the words Póg Mo Thóin. The words are colored like the Irish flag."
what the fuck petri 2.png,Petri,what the fuck,"A drawing of an emoji yellow head with a very angry face, with furrowed eyebrows and an open mouth. Above them is a white speech bubble containing a fake scribbled word with an exclamation point and question mark after it. There are four V-shaped emphasis marks around the speech bubble. The symbol is sketchy and the lines are loose."
son of a bitch m.png,M,son of a bitch,an arrow pointing from a brown dog to a figure in a suit with a brown blazer.
shit vixen 2.png,Vixen,shit,the word 'Shit' with an exclamation point in a red speech bubble.
who the fuck m.png,M,who the fuck,"a dark blue-grey oval face with a question mark on it. to the right is a dark magenta glyph, showing a vertical lin with a divot, a horizontal line going into the divot."
dusty i may not know my flowers.png,Dusty,"I may not know my flowers, but I know a bitch when I see one!","A drawing split in half, with a marigold and red question marks on one side, and a dog with a pink collar and a green check mark on the other."
