id,text
7470590506913810376,Below are symbols with blood
7470590509583732933,the following symbols represent opinions and may be upsetting
7470590512667017331,high-contrast symbols below
7470590515564031564,the symbols below depict intersexism and IGM
7470590518134190949,pictures with needles below
7471651313973757562,pictures with pubic hair below
7471651479965253290,pictures with bugs below
7472093898765798502,pictures with substances (drugs) below
7472117229699917871,the symbols below depict self-harm
7472294968331482097,the symbols below depict incest
