Image URL,Credit,Caption,Alt text
2d pheonix.png,Pheonix,2D,a blue square sits above a purple cube and has 3 small emphasis lines at 2 corners. A black arrow points at the blue square.
3d pheonix.png,Pheonix,3D,a blue square sits above a purple cube which has 3 small emphasis lines at 2 corners. A black arrow points to the cube.
according pheonix.png,Pheonix,according,A wavy looping arrow grades from light green to light blue and points down.
able pheonix 1.png,Pheonix,able,"2 grey gears sit in the upper left corner, a thumbs up in the bottom right corner slightly overlaps them."
able pheonix 2.png,Pheonix,able,"2 grey gears sit in the upper left corner, a green checkmark in the bottom right corner slightly overlaps them."
additionally petri.png,Petri,additionally,"a rounded arrow pointing over top and around it, with light pink and light blue coloured portions, with slightly sketchy off-black lines."
/Self-Advocacy/ableist.png,M,ableist,"person in a self-propelled manual chair, stopped by stairs. on top of the stairs is a person without any mobility aids, in a confident pose with their hands on their hips.the person without the mobility aids is benefiting from the barrier that is preventing the wheelchair user from reaching their position. a red arrow points at the person without mobility aids, on the top of the stairs. the arrow is inside the stairs, and is also pointing at the stairs themselves. this way, the picture can mean both “ableist” as a description, and “ableist” as a person who enforces and uses ableism."
/Disability/accessible.png,Plum,accessible,"The disabled sun symbol, which is made up of an outer ring with a small circle inside, with the disabled flag masked onto it. Near the symbol is a green checkmark. The disabled flag is a grey field with diagonal red, yellow, white, blue, and green stripes running through the top left corner to the bottom right corner."
anchored.png,M,anchored,an anchor with a rock and seaweed.
adopted leo.png,Vincent,adopted,a pink person with ears. a crossed out equation symbol is above their head.
actually pheonix.png,Pheonix,actually,"An arrow grading from blue to green starts at the left side of the screen, makes a loop, and points down."
bad.png,M,bad,a red downwards curve.
aforementioned lovelikeadog.png,lovelikeadog,aforementioned,an off white speech bubble with a red arrow pointing down behind it
afab rae.png,Rae,AFAB,a light skinned baby with a purplish birthmark. She’s wrapped in a pink swaddle and there’s a female sign next to her
beautiful vixen.png,Vixen,beautiful,A blueish-white swan with a yellow spotlight on it and sparkles surrounding it
again chrome.png,cytochrome-sea,again,a blue dog running and a arrow points from behind it to the front of it again
afab vixen.png,Vixen,AFAB,"a square outline with a line on top with a gradient transitioning from white at the top to bright pink at the bottom. Inside the square, a heart shaped female gender symbol is drawn in the center."
careful gillipop.png,Gillipop,careful,an emoji-yellow person with a focused expression carefully balancing a long red wooden block onto a structure of colorful wooden block toys
alas m.png,M,alas,an opened scroll crying from each eye with a sad face
aiab vixen.png,Vixen,AIAB,"diamond outline with a line on top with a gradient transitioning from white at the top to light yellow at the bottom. Inside the diamond, a heart shaped nonbinary gender symbol is drawn in the center."
careful gillipop 1.png,Gillipop,careful,"an emoji-yellow person with a focused expression carefully balancing a long brown wooden block onto a structure of wooden block toys in various shades of brown, with a slight wood grain texture"
alike pheonix.png,Pheonix,alike,A curved purple double sided arrow points down at 2 blue squares. Between the squares is another blue double sided arrow pointing at them.
apparently m.png,M,apparently,"a big brown eye in front of a cream-colored rectangle that represents a sheet of paper, and by extension information."
Carbonated.png,Petri,carbonated,a clear cup of carbonated orange liquid which is full of bubbles and looks fizzy.
amab rae.png,Rae,AMAB,a dark skinned baby in a blue swaddle. There’s a male sign next to him
awful pheonix 1.png,Pheonix,awful,A red sad face with a big red X in a circle above it. The image has dark line art.
