Image URL,Credit,Caption,Alt text
0 m.png,M,0,a gothic-style teal-coloured arabic numeral 0.
1 m.png,M,1,a gothic-style teal-coloured arabic numeral 1.
2 m.png,M,2,a gothic-style teal-coloured arabic numeral 2.
1 creature.png,creature,1,a cartoonish number 1 that is blue
2 creature.png,creature,2,a cartoonish number 2 that is green
3 creature.png,creature,3,a cartoonish number 3 that is red
3 m.png,M,3,a gothic-style teal-coloured arabic numeral 3.
4 m.png,M,4,a gothic-style teal-coloured arabic numeral 4.
5 m.png,M,5,a gothic-style teal-coloured arabic numeral 5.
4 creature.png,creature,4,a cartoonish number 4 that is deep blue
5 creature.png,creature,5,a cartoonish number 5 that is dark pastel purple
6 creature.png,creature,6,a cartoonish number 6 that is blue
6 m.png,M,6,a gothic-style teal-coloured arabic numeral 6.
7 m.png,M,7,a gothic-style teal-coloured arabic numeral 7.
8 m.png,M,8,a gothic-style teal-coloured arabic numeral 8.
10 creature.png,creature,10,a cartoonish number 10 that is orange
a couple stellar.png,StellarSymbols,a couple,A pile ofwhite cubes with a couple red ones
9 m.png,M,9,a gothic-style teal-coloured arabic numeral 9.
A bit.png,StellarSymbols,a bit,"a clear jar with seven lines indicating fullness level, filled with water up to the second line from the bottom."
a few stellar.png,StellarSymbols,a few,A pile ofwhite cubes with a few red ones
/description/a couple.png,Dusty,a couple,"A black circle with 3 blue dots in it, and many more outside of it."
/description/a couple neon.png,Neon,a couple,"Two red circles with black outlines, on the left circle there is the number one and on the second there is the number two."
/description/all fg.png,froggygolem,all,orange circle with small  blobs in different shades of orange
/description/all dusty.png,Dusty,all,A large black circle with many red dots inside.
/description/a few.png,Dusty,a few,"A black circle with 5 teal dots in it, and many more outside of it."
/description/a little dusty.png,Dusty,a little,"A black circle with 7 green dots inside, and many more outside of it."
/description/almost fg.png,froggygolem,almost,two wavy parallel lines poking into vertical light orange rectangle on right side.
all stellar.png,StellarSymbols,all,"a pile of red cubes, drawn in simplistic style with thick black outlines."
A little.png,StellarSymbols,a little,"a clear jar with seven lines indicating fullness level, filled with water up to the first line from the bottom."
A lot.png,StellarSymbols,a lot,"a clear jar with seven lines indicating fullness level, filled with water all the way to the top."
all pheonix.png,Pheonix,all,a black line with a grey interior encircles a collection of pink circles with various shades and sizes. Each pink circle has a thick dark pink outline.
